id,direction,model_label,use_pivot_english,latency_ms,request_error,source,reference,hypothesis,explanation,explanation_nonempty,explanation_language_ok,hints_count,hints_nonempty,hints_language_ok,grammar_count,grammar_language_ok,support_ok,expected_keyword_coverage,bleu,chrf,rouge_l,language_ok,copied_source,line_count_match,length_ratio
frja-001,fr-ja,qwen2.5-1.5b,True,61390.0,,"Bonjour, comment vas-tu ?",こんにちは、お元気ですか？,こんにちは、どのようにお過ごしですか？,Cet accrochage est très strict : traduction de chaque item en français.,True,True,1,1,True,1,True,True,0.0,12.925794489355095,34.52856323405738,0.6875,True,False,True,1.4615384615384615
frja-002,fr-ja,qwen2.5-1.5b,True,51221.0,,Je suis etudiant a l'universite de Tsukuba.,私は筑波大学の学生です。,私はスチューデントです。スチューシュラーズ大学の学生です。,"Cette phrase est en français et se traduit en japonais par : ""Je suis étudiant. Je suis étudiant de l'université Tsukuba.""",True,True,2,2,True,1,True,True,0.0,12.925794489355095,34.52856323405738,0.4878048780487806,True,False,True,2.4166666666666665
frja-003,fr-ja,qwen2.5-1.5b,True,62996.0,,"Il pleut beaucoup aujourd'hui, prends un parapluie.",今日は雨がたくさん降っているので、傘を持っていって。,雨が強く降る今日、傘を取ってください。,"Cette phrase française 'Il pleut beaucoup aujourd'hui, prends un parapluie.' se traduit en anglais par 'It's raining a lot today, take an umbrella.'",True,True,1,1,True,2,True,True,0.0,12.925794489355095,34.52856323405738,0.5333333333333333,True,False,True,0.7307692307692307
frja-004,fr-ja,qwen2.5-1.5b,True,79422.0,,J'aime apprendre le japonais parce que c'est difficile.,日本語を学ぶのが好きです。難しいからです。,私は日本語を学ぶのが好きです。それは難しいです。,这句话表达了学习日语的喜好，因为学习是困难的。,True,False,1,1,False,3,True,False,0.0,12.925794489355095,34.52856323405738,0.8444444444444444,True,False,True,1.1428571428571428
frja-005,fr-ja,qwen2.5-1.5b,True,109069.0,,"Si tu as du temps, viens demain.",時間があれば、明日来てください。,来週の朝までに来てくれればいいです。,L'invitation à rencontrer la personne est indiquée dans le texte original en français. La traduction japonaise directement traduit cette invitation en un demandeur formel de rendez-vous.,True,True,1,1,True,3,True,True,0.3333333333333333,12.925794489355095,34.52856323405738,0.29411764705882354,True,False,True,1.125
frja-006,fr-ja,qwen2.5-1.5b,True,145360.0,,Je n'ai pas encore fini le rapport.,まだレポートが終わっていません。,私は報告をまだ終わりにしていません。,"Ceci est une traduction en français, qui signifie 'I have not finished presenting yet'.",True,True,3,3,True,3,True,True,0.3333333333333333,12.925794489355095,34.52856323405738,0.5882352941176471,True,False,True,1.125
frja-007,fr-ja,qwen2.5-1.5b,True,48826.0,,Peux-tu parler plus lentement ?,もう少しゆっくり話してもらえますか？,お手伝いできません。,La traduction fournie est la version française directe de l'équivalent anglais du pivot.,True,True,1,1,True,1,True,True,0.6666666666666666,12.925794489355095,34.52856323405738,0.07142857142857142,True,False,True,0.5555555555555556
frja-008,fr-ja,qwen2.5-1.5b,True,51987.0,,Il faut etudier chaque jour.,毎日勉強しなければなりません。,毎日勉強してください。,"le texte source est traduit directement en japonais, conservant la même signification.",True,True,1,1,True,3,True,True,0.0,12.925794489355095,34.52856323405738,0.4615384615384615,True,False,True,0.7333333333333333
frja-009,fr-ja,qwen2.5-1.5b,True,91565.0,,Ce livre est plus interessant que celui-la.,この本はあの本より面白いです。,この本はそれよりも興味深いです。,Cette phrase utilise le comparatif en japonais pour indiquer une plus grande intérêt. C'est un exemple de 'comparaison avec ' et il s'agit d'un comparatif positif.,True,True,3,3,False,2,False,False,0.6666666666666666,12.925794489355095,34.52856323405738,0.6451612903225806,True,False,True,1.0666666666666667
frja-010,fr-ja,qwen2.5-1.5b,True,101192.0,,J'ai oublie mon portefeuille dans le train.,電車に財布を忘れました。,忘れたのは、列車で落としたウォレットです。,Le français 'J'ai oublie mon portefeuille dans le train.' est traduit en japonais comme '忘れたのは、列車で落としたウォレットです。' qui signifie 'Il a été oublié que la poche à main était tombée du train.',True,False,2,2,False,3,False,False,1.0,12.925794489355095,34.52856323405738,0.30303030303030304,True,False,True,1.75
jafr-001,ja-fr,qwen2.5-1.5b,True,39140.0,,すみません、駅はどこですか？,"Excusez-moi, ou se trouve la gare ?",Où est la gare ?,La traduction fournie est exactement conforme à la signification japonaise.,True,True,2,2,True,1,True,True,0.3333333333333333,12.925794489355095,34.52856323405738,0.5,True,False,True,0.45714285714285713
jafr-002,ja-fr,qwen2.5-1.5b,True,26781.0,,昨日は友達と映画を見に行きました。,"Hier, je suis alle voir un film avec des amis.",Hier j'ai vu une film avec mes amis.,La traduction du texte source est effectuée directement en français tout en conservant la même signification et structure que dans l'anglais.,True,True,1,1,True,1,True,True,0.0,12.925794489355095,34.52856323405738,0.33333333333333326,True,False,True,0.782608695652174
jafr-003,ja-fr,qwen2.5-1.5b,True,50524.0,,この問題は少し難しいけど、頑張れば理解できます。,"Ce probleme est un peu difficile, mais si on fait des efforts on peut le comprendre.","Cela pose un problème qui est un peu difficile, mais avec du travail, il peut être compris.",The translation maintains the original meaning while adapting it to French syntax and vocabulary.,True,True,3,3,True,1,True,True,0.0,12.925794489355095,34.52856323405738,0.3636363636363636,True,False,True,1.0833333333333333
jafr-004,ja-fr,qwen2.5-1.5b,True,110557.0,,毎朝コーヒーを飲んでから学校へ行きます。,"Chaque matin, je bois un cafe puis je vais a l'ecole.","Chaque matin, je bois de la caféine et je vais à l'école.","Le japonais '毎朝コーヒーを飲んでから学校へ行きます。' est traduit en français par 'Chaque matin, je bois de la caféine et je vais à l'école.'",True,False,1,1,False,1,False,False,0.0,12.925794489355095,34.52856323405738,0.5217391304347826,True,False,True,1.0754716981132075
