id,direction,model_label,use_pivot_english,latency_ms,request_error,source,reference,hypothesis,explanation,explanation_nonempty,explanation_language_ok,hints_count,hints_nonempty,hints_language_ok,grammar_count,grammar_language_ok,support_ok,expected_keyword_coverage,bleu,chrf,rouge_l,language_ok,copied_source,line_count_match,length_ratio,model_variant
frja-001,fr-ja,qwen2.5-1.5b,False,56849.0,,"Bonjour, comment vas-tu ?",こんにちは、お元気ですか？,こんにちは、どのようにお過ごしですか？,Ceci est une salutation japonaise similaire à la «bonjour» en français.,True,True,2,2,True,2,False,False,0.6666666666666666,8.943695670003398,37.1462126164622,0.6875,True,False,True,1.4615384615384617,qwen2.5-1.5b
frja-002,fr-ja,qwen2.5-1.5b,False,20961.0,,Je suis etudiant a l'universite de Tsukuba.,私は筑波大学の学生です。,私はスチューデントです。スチューシュラーズ大学に在籍しています。,Cette phrase exprime que vous êtes un étudiant en japonais.,True,True,3,3,True,1,True,True,0.0,8.943695670003398,37.1462126164622,0.2727272727272727,True,False,True,2.6666666666666665,qwen2.5-1.5b
frja-003,fr-ja,qwen2.5-1.5b,False,32783.0,,"Il pleut beaucoup aujourd'hui, prends un parapluie.",今日は雨がたくさん降っているので、傘を持っていって。,雨が降っています。傘を取ってください。,L'indication « Il pleut beaucoup aujourd'hui » exprime le contexte actuel de pluie en utilisant la forme progressive. Le résultat attendu correspond à cette situation avec une réponse commandée : « Prends un parapluie ».,True,True,3,3,True,1,True,True,0.0,8.943695670003398,37.1462126164622,0.5333333333333333,True,False,True,0.7307692307692307,qwen2.5-1.5b
frja-004,fr-ja,qwen2.5-1.5b,False,61779.0,,J'aime apprendre le japonais parce que c'est difficile.,日本語を学ぶのが好きです。難しいからです。,私は日本語を学ぶのが好きです。それは難しいです。,Cette phrase exprime mon intérêt pour apprendre le japonais et mentionne que l'apprentissage du japonais est difficile.,True,True,2,2,True,2,True,True,0.0,8.943695670003398,37.1462126164622,0.8444444444444444,True,False,True,1.1428571428571428,qwen2.5-1.5b
frja-005,fr-ja,qwen2.5-1.5b,False,36764.0,,"Si tu as du temps, viens demain.",時間があれば、明日来てください。,来週は時間があれば来てください。,"En observant l'instruction, je suppose que vous devriez venir à la date indiquée.",True,True,2,2,True,3,False,False,0.0,8.943695670003398,37.1462126164622,0.8125,True,False,True,1.0,qwen2.5-1.5b
frja-006,fr-ja,qwen2.5-1.5b,False,53951.0,,Je n'ai pas encore fini le rapport.,まだレポートが終わっていません。,私は報告書をまだ終わりません。,Cette phrase est en français et signifie 'j'ai pas encore fini le rapport'.,True,True,4,4,True,3,True,True,0.3333333333333333,8.943695670003398,37.1462126164622,0.5161290322580646,True,False,True,0.9375,qwen2.5-1.5b
frja-007,fr-ja,qwen2.5-1.5b,False,64657.0,,Peux-tu parler plus lentement ?,もう少しゆっくり話してもらえますか？,はなにを話すのをゆっくりと言いますか？,Cette phrase demande à quelqu'un de parler avec une cadence plus lente.,True,True,2,2,True,3,False,False,0.3333333333333333,8.943695670003398,37.1462126164622,0.4324324324324324,True,False,True,1.0555555555555556,qwen2.5-1.5b
frja-008,fr-ja,qwen2.5-1.5b,False,28459.0,,Il faut etudier chaque jour.,毎日勉強しなければなりません。,毎日勉強する必要がある。,Cette phrase recommande de faire des études quotidiennes.,True,True,2,2,True,2,True,True,0.0,8.943695670003398,37.1462126164622,0.3703703703703704,True,False,True,0.8,qwen2.5-1.5b
frja-009,fr-ja,qwen2.5-1.5b,False,45659.0,,Ce livre est plus interessant que celui-la.,この本はあの本より面白いです。,この本はそれよりも興味深いです。,Cette phrase utilise une structure de comparaison qui indique que « ce livre » est plus intéressant que « celui-ci ». Cela signifie qu'elle souligne l'aspect positif du livre en question par rapport à un autre livre.,True,True,2,2,True,1,True,True,0.6666666666666666,8.943695670003398,37.1462126164622,0.6451612903225806,True,False,True,1.0666666666666669,qwen2.5-1.5b
frja-010,fr-ja,qwen2.5-1.5b,False,46086.0,,J'ai oublie mon portefeuille dans le train.,電車に財布を忘れました。,私は電車で私の財布を忘れました。,Ceci est une phrase en français qui signifie ‘Je me suis ennuyé sur la banquette du train et je ne savais pas où j'avais mis mes clés.’,True,True,3,3,True,3,True,True,0.0,8.943695670003398,37.1462126164622,0.7857142857142857,True,False,True,1.3333333333333333,qwen2.5-1.5b
jafr-001,ja-fr,qwen2.5-1.5b,False,32807.0,,すみません、駅はどこですか？,"Excusez-moi, ou se trouve la gare ?",Quelle est la station le plus proche de là où vous êtes ?,Cette phrase demande à quelqu'un d'indiquer la station la plus proche d'une personne spécifique.,True,True,2,2,True,2,True,True,0.3333333333333333,8.943695670003398,37.1462126164622,0.2,True,False,True,1.6285714285714286,qwen2.5-1.5b
jafr-002,ja-fr,qwen2.5-1.5b,False,16211.0,,昨日は友達と映画を見に行きました。,"Hier, je suis alle voir un film avec des amis.",Hier était avec des amis au cinéma.,Le passage indique que le sujet a passé une journée avec ses amis en se rendant à un cinéma.,True,True,2,2,True,3,True,True,0.6666666666666666,8.943695670003398,37.1462126164622,0.2352941176470588,True,False,True,0.7608695652173914,qwen2.5-1.5b
jafr-003,ja-fr,qwen2.5-1.5b,False,17837.0,,この問題は少し難しいけど、頑張れば理解できます。,"Ce probleme est un peu difficile, mais si on fait des efforts on peut le comprendre.","Cela peut sembler un peu difficile à comprendre, mais avec du travail, vous pouvez le faire.",Le texte original est une recommandation positive pour les difficultés rencontrées dans un exercice ou un problème. Le traducteur a maintenu cette attitude encourageante en utilisant des expressions similaires en français.,True,True,2,2,True,2,True,True,0.0,8.943695670003398,37.1462126164622,0.25,True,False,True,1.0952380952380951,qwen2.5-1.5b
jafr-004,ja-fr,qwen2.5-1.5b,False,113654.0,,毎朝コーヒーを飲んでから学校へ行きます。,"Chaque matin, je bois un cafe puis je vais a l'ecole.",Je vais à l'école après avoir bu du café chaque matin.,Cette phrase indique que la personne prend le café en matinée et se rend ensuite à l'école.,True,True,2,2,False,3,False,False,0.0,8.943695670003398,37.1462126164622,0.0909090909090909,True,False,True,1.018867924528302,qwen2.5-1.5b
jafr-005,ja-fr,qwen2.5-1.5b,False,50924.0,,今日は早く帰ってもいいですか？,Est-ce que je peux rentrer tot aujourd'hui ?,"Aujourd'hui, je pourrais rentrer tôt aujourd'hui ?",Ce message demande à quelqu'un d'autre de permettre au répondeur d'appeler.,True,True,2,2,True,2,False,False,0.3333333333333333,8.943695670003398,37.1462126164622,0.5333333333333333,True,False,True,1.1363636363636365,qwen2.5-1.5b
jafr-006,ja-fr,qwen2.5-1.5b,False,54788.0,,日本に来てから三年になります。,Cela fait trois ans que je suis venu au Japon.,Je viens de Japon depuis trois ans.,Cette phrase exprime que l'interlocuteur est arrivé à Japon il y a trois années.,True,True,2,2,False,3,True,False,0.3333333333333333,8.943695670003398,37.1462126164622,0.1176470588235294,True,False,True,0.7608695652173914,qwen2.5-1.5b
jafr-007,ja-fr,qwen2.5-1.5b,False,46363.0,,彼は会議中なので電話に出られません。,"Il est en reunion, donc il ne peut pas repondre au telephone.",Il ne peut pas être appelé pendant le meeting.,Le texte indique que l'individu ne peut pas recevoir de téléphone pendant un débat ou une réunion.,True,True,3,3,True,3,True,True,0.0,8.943695670003398,37.1462126164622,0.380952380952381,True,False,True,0.7540983606557377,qwen2.5-1.5b
jafr-008,ja-fr,qwen2.5-1.5b,False,12995.0,,もっと静かにしてくれませんか。,Pourriez-vous parler plus doucement ?,Plus silencieux.,Le texte demandé est simplement une traduction directe du japonais en français.,True,True,1,1,True,3,True,True,0.0,8.943695670003398,37.1462126164622,0.0,True,False,True,0.4324324324324324,qwen2.5-1.5b
jafr-009,ja-fr,qwen2.5-1.5b,False,12125.0,,もし雨が降ったら、試合は中止になります。,"S'il pleut, le match sera annule.","Si il pleut, le match sera reporté.",Cette phrase exprime une règle qui s'applique lorsqu'il y a des conditions météorologiques spécifiques (pluie) et que la décision finale est de mettre en pause ou annuler un événement sportif (match).,True,True,3,3,True,2,True,True,0.6666666666666666,8.943695670003398,37.1462126164622,0.6153846153846153,True,False,True,1.0606060606060606,qwen2.5-1.5b
jafr-010,ja-fr,qwen2.5-1.5b,False,24276.0,,宿題を忘れてしまいました。,J'ai oublie les devoirs.,Échoué pour le devoir.,"Le mot 'devoir' signifie 'homework' en japonais, et il est traduit par 'devoir' en français.",True,True,1,1,True,1,True,True,0.3333333333333333,8.943695670003398,37.1462126164622,0.0,True,False,True,0.9166666666666666,qwen2.5-1.5b
frja-011,fr-ja,qwen2.5-1.5b,False,43265.0,,J'habite pres du campus.,私はキャンパスの近くに住んでいます。,私はキャンパスの近くに住んでいます。,Cette phrase est exprimée en français et signifie littéralement 'j'habite près de l'université'.,True,True,2,2,True,3,False,False,0.0,8.943695670003398,37.1462126164622,1.0,True,False,True,1.0,qwen2.5-1.5b
frja-012,fr-ja,qwen2.5-1.5b,False,63610.0,,"Le train part a 7 heures, ne sois pas en retard.",電車は7時に出発します。遅れないで。,出発は7時です。遅刻しないでください。,Les expressions 'part' et 'rester en retard' sont utilisées pour indiquer l'heure de départ et la précaution contre le retard.,True,True,3,3,True,2,False,False,0.3333333333333333,8.943695670003398,37.1462126164622,0.5405405405405405,True,False,True,1.0555555555555556,qwen2.5-1.5b
frja-013,fr-ja,qwen2.5-1.5b,False,25357.0,,Nous devons envoyer un email au professeur.,教授にメールを送らなければなりません。,あなたは教授にメールを送らなければなりません。,La phrase contient l'indicatif « vous » qui exprime le rôle de récepteur.,True,True,1,1,True,2,True,True,0.0,8.943695670003398,37.1462126164622,0.9047619047619048,True,False,True,1.2105263157894737,qwen2.5-1.5b
frja-014,fr-ja,qwen2.5-1.5b,False,32947.0,,Je prefere le the au cafe.,私はコーヒーよりお茶が好きです。,私はカフェよりコーヒーを好む。,Cette phrase exprime que l'interlocuteur préfère le café à la cafétéria.,True,True,2,2,True,2,False,False,0.3333333333333333,8.943695670003398,37.1462126164622,0.5161290322580646,True,False,True,0.9375,qwen2.5-1.5b
frja-015,fr-ja,qwen2.5-1.5b,False,27731.0,,Il y avait beaucoup de monde au festival.,祭りには人がたくさんいました。,多くの人々が集まっていた。,Le texte original est « Il y avait beaucoup de monde au festival ». Cette phrase traduit littéralement en japonais par « De nombreux gens étaient présents ».,True,True,2,2,True,2,True,True,0.0,8.943695670003398,37.1462126164622,0.3571428571428571,True,False,True,0.8666666666666667,qwen2.5-1.5b
